projtype,client,key,value
"Client","Allstate","DIGITAL SAFETY (T&M)","1300"
Client,Allstate,DIGITAL SAFETY WEB POC (T&M) - August 2018+,400
"Client","Allstate","BYOD","57.5"
Client,Allstate,Allstate Dealer Services,28.75
Client,Allstate,InfoArmor CES kiosk app,5.5
Client,Allstate,InfoArmor demo app mods,0.5
Client,Bill & Melinda Gates Foundation (BMGF),Goalkeepers Report,604
Client,Bill & Melinda Gates Foundation (BMGF),Goalkeepers Report 2021,232.25
Client,Bill & Melinda Gates Foundation (BMGF),COVID-19 content,115
Client,Bill & Melinda Gates Foundation (BMGF),FinTech Festival Slide,19.5
Client,MPG Ranch,MPG Matrix / Web of Life,163.75
Client,MPG Ranch,MPG 2.0 (T&M),137.5
Client,MPG Ranch,HABITAT MAP (T&M),119.25
Client,MPG Ranch,LIVE CONDITIONS MAP (T&M),103
Client,MPG Ranch,OSPREYS (T&M),85.5
Client,MPG Ranch,MPG Matrix - professional tool,35.75
Client,MPG Ranch,MPG Matrix 2,32.05
Client,MPG Ranch,MPG North (T&M),20
Client,MPG Ranch,MPG Support Contract 2020,16
Client,MPG Ranch,MPG Admin (T&M),13.75
Client,MPG Ranch,RAPTORS (T&M),12.5
Client,MPG Ranch,HABITAT MAP EXTENSIONS (T&M),3.5
Client,MPG Ranch,2016 OSPREYS (T&M),1.5
Client,MPG Ranch,GENERAL MAINT. & SUPPORT (*MPG projects) T&M,0.5
Client,Ekman Group,ATLAS OF EMOTIONS,381.25
Client,Ekman Group,ATLAS OF EMOTIONS - EXTEND,92.5
Client,Visa,Visa Innovation Lab Data Wall,342.75
Client,REBNY,REBNY UX (FF),342.5
Client,Google Inc,Google GEO,214.75
Client,Google Inc,Google Geo Guidebook (P2),34
Client,Google Inc,Tapestry,17.5
Client,UC Davis,LAKE TAHOE,227
Client,UC Davis,TAHOE EXTENDED / DATA,20
Client,UC Davis,TAHOE - CLOSE OUT,11
Client,National Audubon Society,Audubon Climate 2.0,191.25
Client,National Audubon Society,Audubon National Park Maps & Viz (FF),52.5
Client,CREATE.IO,DESIGN CONSULTING: PHASE 1,199.75
Client,Exploratorium,Living Liquid (FF),111
Client,Exploratorium,LIVING LIQUID,60
Client,Columbia University,NYC Historical Maps,117.5
Client,Seattle Dept. of Energy and Env.,SEATTLE EBP PHASE 2 & 3 (FF),84.5
Client,Seattle Dept. of Energy and Env.,Seattle Data Refresh 2018,15.25
Client,Seattle Dept. of Energy and Env.,CEP - PHASE 1,13
Client,Seattle Dept. of Energy and Env.,SEATTLE EBP PHASE IV,1
Client,Link Logistics,Tour Book Print Maps,36
Client,Link Logistics,Q2 2024 Map Production and Template Rebrand,18.5
Client,Link Logistics,Tour Book Print Maps SOW #4,15.5
Client,Link Logistics,Tour Maps SOW #5 (Q1 2024),13
Client,Link Logistics,Q3 2024 Design Implementation,10.5
Client,Link Logistics,Q3 2024 Map Production,9.5
Client,Link Logistics,Q4 2024 Support,2
Client,CAST,CAST MAP (FF),103
Client,Midwood,Midwood Mosiac UX,102.75
Client,J. Paul Getty Trust,Ruscha Digital Pub Fall 2024,58.75
Client,J. Paul Getty Trust,Ruscha Digital Pub Summer 2024,32.75
Client,J. Paul Getty Trust,Ed Ruscha project (Discovery),8.5
Client,J. Paul Getty Trust,Getty Ruscha Quire Design,0.5
Client,J. Paul Getty Trust,Getty Digital Publications,0.5
Client,Consumer Reports,RELIABILITY VIZ - P2 (T&M),58.75
Client,Consumer Reports,RELIABILITY SURVEY (T&M),41.75
Client,Amazon,Last Mile: Product Experience,80.91
Client,Amazon,Last Mile: Product Capabilities,7
Client,HERE,"XYZ Sales Demo (Dinesh's ""Complement/Compete"" project)",76.25
Client,HudHud,HudHud maps (Sept - Dec 2024),48.75
Client,HudHud,HudHud maps (Q1 2025),25.25
Client,NY CITY,CAPITAL PLANNING TOOL,62.25
Client,Google,ML Efficiency Data Stories,62.25
Client,Planet Labs,PLANET LABS,58.5
Client,MDRC,New Community Reports (T&M),58.5
Client,YBCA,BAN 8.00,57
Client,Cambridge Systematics,Cambridge Systematics,56.5
Client,Johnson & Johnson,Business Intelligence Design,53.5
Client,Givaudan France,Flavorist,50
Client,MPG Operations LLC,Live Map 2025,23
Client,MPG Operations LLC,Matrix 2023,19
Client,MPG Operations LLC,Matrix 2025,5.5
Client,MPG Operations LLC,MPG Support 2024 (Nick's tools),1
Client,Phylagen,Heath Index Project,46
Client,WHO,IMMUNIZATION WORKSHOP (FF),44
Client,WHO,POLIO ERADICATION PROJECT,0.5
Client,elsevier,Data Visualization Critique and Workshop,41
Client,Daitem,Contrails / clouds visualization,40.75
Client,Placer.ai,Placer Advanced Mapping Tool,29.5
Client,Auxly,Auxly: effects of cannabis / branding,29
Client,Movebank,Usability Study,28.25
Client,Windward Fund (was Otherlab),Rewiring America,26.5
Client,University of Richmond,RICHMOND USER TESTING: Phase 2,16.5
Client,University of Richmond,RICHMOND MAINTENANCE,4.5
Client,University of Richmond,RICHMOND USER TESTING: Phase 1,1
Client,Virginia Commonwealth University,Visualizing US equity for VCU Rise,19.75
Client,Cepheid,PROTOTYPE INTERACTIVES,18.5
Client,Salesforce,Data Visualization Foundations Workshop Feb 10 2020,17
Client,Mirra VR / Kevin Farnham,VR DESIGN GUIDE (T&M),15.25
Client,Digital Globe,GBDX - Penny (T&M),12
Client,Cleveland Metroparks,ODM GCPI & POSM Integration (T&M),11.5
Client,Gensler | Team Uplift,Resilient by Design (RbD) Phase 1 - through Nov. 15 2017,10
Client,Stanford University,Natural Capital Project,9.5
Client,People V Extinction,2020 Site Launch,9.5
Client,UC Berkeley,BERKELEY ECOENGINE,9
Client,Washington DC - DOE,DC EBP PHASE 2 (FF),8.75
Client,National Geographic Partners LLC,HUMAN INTERACTION MAP (T&M),8.5
Client,EIG Economic Innovation Group,EIG Distressed Communities Index — Interactive Map and Data Tool,8
Client,xSensor,XSENSOR Map Style,5.75
Client,BAAQMD,BAAQMD Discovery (FF),2.5
Client,Science Museum,Science Museum - Congruence Engine Project Bradford UK,1.5
Client,Maxar,SecureWatch 3.0 Pricing/Licensing Strategy,1
Client,Maxar,Commercial Product Strategy Consulting,0.5
Client,V AND A,FUTURE DESIGN,1
Client,Earth Genome,Plotline COP28,1
Client,Amazon Web Services,AWS Map Style Development 2025,1
Client,Max Planck Institute,Superdiversity 2023,0.75
Client,Visa,Visa Innovation Center Singapore - Data visualization,0.5
Client,HOODLINE,DATA JOURNALISM,0.5
Client,American Red Cross,OPEN DRONE MAP,0.5
Stamen,Operations,Internal / Studio / Misc,3974.2
Stamen,Operations,Internal,838.75
Stamen,Operations,Vacation Sick Time and Holidays,456
Stamen,Operations,Past client/project support,9.75
Stamen,Operations,IT / Misc Systems Admin,7.5
Stamen,Operations,Technical Operations,1
Stamen,Marketing,Marketing - general/ops,385.75
Stamen,Marketing,Marketing,170.75
Stamen,Marketing,Content dev / social marketing,100
Stamen,Marketing,Stadia Tiles Migration,33.5
Stamen,Marketing,Stamen Podcast,23
Stamen,Marketing,Stamen website(s),15
Stamen,Marketing,Stamen.com,11
Stamen,Marketing,Website Update 2023,9
Stamen,Marketing,Archiving 2023-24,5.75
Stamen,Marketing,NACIS 2024,2.5
Stamen,Marketing,NACIS 2023,2.5
Stamen,Marketing,Events / speaking,2
Stamen,Marketing,Content marketing,1
Stamen,New Biz,Newbiz / prospecting,378.18
Stamen,New Biz,Sales,268.25
Stamen,R&D,Stamen Stories (March 2021 - June 2021),171
Stamen,R&D,Stamen Summit 2021,54.5
Stamen,R&D,Brass Tacks (Ritualizing Transparency and Learnings),16.83
Stamen,R&D,Stamen Programs (What programs do we offer to different types of clients?),13
Stamen,R&D,INTERNAL MEETINGS,12.5
Stamen,R&D,DCB Total Business Reset,11.5
Stamen,R&D,INTERNAL / PRO BONO,6
Stamen,R&D,National Design Awards,4
Stamen,R&D,Project Success Super Team (What is needed for a successful project?),3
Stamen,R&D,AoE 1 pager,2.25
Stamen,R&D,Stamen is Ship of Theseus (How do we define Stamen?),2
